country_code,term,score,rank,refresh_date,country_name,region_name,region_code,week,percent_gain
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2020-01-05,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2020-07-12,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2020-11-08,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2021-02-07,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2021-05-30,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2021-10-24,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2021-12-19,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2021-12-26,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2022-01-23,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2022-08-14,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2022-12-04,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2023-02-05,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2023-02-26,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2023-11-19,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2023-12-03,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Salta Province,AR-A,2024-01-07,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2019-08-04,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2019-09-15,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2019-10-13,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2019-10-20,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2019-11-17,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2019-12-01,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2019-12-15,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2020-07-26,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2020-08-30,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2021-01-10,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2021-05-02,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2021-06-13,2350
AR,banfield atlético tucumán,,8,2024-07-22,Argentina,Buenos Aires Province,AR-B,2021-06-27,2350
